id;name;full_name;birth_date;height_cm;weight_kgs;positions;nationality;overall_rating;preferred_foot;weak_foot(1-5);skill_moves(1-5);club_team
158023;L. Messi;Lionel Andrés Messi Cuccittini;24.06.1987;170.18;72.1;CF;Argentina;94;Left;4;4;FC Barcelona
190460;C. Eriksen;Christian  Dannemann Eriksen;14.02.1992;154.94;76.2;CAM;Denmark;88;Right;5;4;Tottenham Hotspur
195864;P. Pogba;Paul Pogba;15.03.1993;190.5;83.9;CM;France;88;Right;4;5;Manchester United
198219;L. Insigne;Lorenzo Insigne;04.06.1991;162.56;59;LW;Italy;88;Right;4;4;Napoli
201024;K. Koulibaly;Kalidou Koulibaly;20.06.1991;187.96;88.9;CB;Senegal;88;Right;3;2;Napoli
203376;V. van Dijk;Virgil van Dijk;08.07.1991;193.04;92.1;CB;Netherlands;88;Right;3;2;Liverpool
231747;K. Mbappé;Kylian Mbappé;20.12.1998;152.4;73;RW;France;88;Right;4;5;Paris Saint-Germain
153079;S. Agüero;Sergio Leonel Agüero del Castillo;02.06.1988;172.72;69.9;ST;Argentina;89;Right;4;4;Manchester City
167495;M. Neuer;Manuel Neuer;27.03.1986;193.04;92.1;GK;Germany;89;Right;4;1;FC Bayern München
179813;E. Cavani;Edinson Roberto Cavani Gómez;14.02.1987;185.42;77.1;ST;Uruguay;89;Right;4;3;Paris Saint-Germain
189511;Sergio Busquets;Sergio Busquets i Burgos;16.07.1988;187.96;76.2;CDM;Spain;89;Right;3;3;FC Barcelona
192119;T. Courtois;Thibaut Courtois;11.05.1992;198.12;96.2;GK;Belgium;89;Left;2;1;Real Madrid
192448;M. ter Stegen;Marc-André ter Stegen;30.04.1992;187.96;84.8;GK;Germany;89;Right;4;1;FC Barcelona
194765;A. Griezmann;Antoine Griezmann;21.03.1991;175.26;73;CF;France;89;Left;3;4;Atlético Madrid
209331;M. Salah;Mohamed  Salah Ghaly;15.06.1992;175.26;71.2;RW;Egypt;89;Left;3;4;Liverpool
211110;P. Dybala;Paulo Bruno Exequiel Dybala;15.11.1993;152.4;74.8;CAM;Argentina;89;Left;3;4;Juventus
232363;M. Škriniar;Milan Škriniar;11.02.1995;187.96;79.8;CB;Slovakia;86;Right;4;2;Inter
135507;Fernandinho;Fernando Luiz Rosa;04.05.1985;152.4;67.1;CDM;Brazil;87;Right;4;3;Manchester City
167664;G. Higuaín;Gonzalo Gerardo Higuaín;10.12.1987;185.42;88.9;ST;Argentina;87;Right;4;3;Chelsea
168651;I. Rakiti?;Ivan Rakiti?;10.03.1988;182.88;78;CM;Croatia;87;Right;4;3;FC Barcelona
172871;J. Vertonghen;Jan Vertonghen;24.04.1987;187.96;86.2;CB;Belgium;87;Left;3;3;Tottenham Hotspur
175943;D. Mertens;Dries Mertens;06.05.1987;170.18;60.8;CF;Belgium;87;Right;4;4;Napoli
176676;Marcelo;Marcelo Vieira da Silva Júnior;12.05.1988;175.26;79.8;LB;Brazil;87;Left;4;5;Real Madrid
184087;T. Alderweireld;Toby Alderweireld;02.03.1989;185.42;81.2;CB;Belgium;87;Right;3;2;Tottenham Hotspur
